"speed","dist","nova"
4,2,"ok"
4,10,"ok"
7,4,"OK"
7,22,"n"
8,16,"ok"
9,10,"ok"
10,18,"n"
10,26,"ok"
10,34,"ok"
11,17,"n"
11,28,"ok"
12,14,"n"
12,20,"n"
12,24,"n"
12,28,"n"
13,26,"n"
13,34,"n"
13,34,"n"
13,46,"n"
14,26,"n"
14,36,"n"
14,60,"n"
14,80,"n"
15,20,"n"
15,26,"n"
15,54,"n"
16,32,"n"
16,40,"n"
17,32,"n"
17,40,"n"
17,50,"n"
18,42,"n"
18,56,"n"
18,76,"n"
18,84,"n"
19,36,"n"
19,46,"n"
19,68,"n"
20,32,"n"
20,48,"n"
20,52,"n"
20,56,"n"
20,64,"n"
22,66,"n"
23,54,"n"
24,70,"n"
24,92,"n"
24,93,"n"
24,120,"n"
25,85,"n"
